"Aveiro","1722"
"Açores","415"
"Beja","159"
"Braga","3154"
"Castelo Branco","1380"
"Coimbra","4431"
"Faro","827"
"Guarda","183"
"Leiria","1150"
"Lisboa","12710"
"Madeira","453"
"Portalegre","166"
"Porto","6791"
"Santarém","500"
"Setúbal","502"
"Viana do Castelo","502"
"Vila Real","1057"
"Viseu","528"
"Évora","785"
