"Aveiro","371"
"Beja","333"
"Braga","1832"
"Castelo Branco","820"
"Coimbra","1058"
"Faro","735"
"Guarda","503"
"Leiria","994"
"Lisboa","2070"
"Madeira","157"
"Portalegre","364"
"Porto","705"
"Santar̩m","412"
"Unknown District","2523"
"Viana do Castelo","457"
"Vila Real","0"
"Viseu","842"
