"Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro","31"
"Instituto Politécnico de Setúbal - Escola Superior de Saúde","116"
"Instituto Politécnico de Viana do Castelo - Escola Superior Agrária","53"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Educação","79"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão","228"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Ciências Empresariais","35"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Desporto e Lazer de Melgaço","37"
"Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu","197"
"Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Viseu","168"
"Instituto Politécnico de Viseu - Escola Superior Agrária de Viseu","49"
"Instituto Politécnico de Viseu - Escola Superior de Tecnologia e Gestão de Lamego","38"
"Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar","22"
"Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar","59"
"Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Abrantes","22"
"Universidade de Lisboa - Faculdade de Belas-Artes","332"
"Universidade do Porto - Faculdade de Belas-Artes","140"
"Universidade de Lisboa - Faculdade de Medicina Dentária","140"
"ISCTE - Instituto Universitário de Lisboa","1049"
"Escola Superior de Enfermagem de Coimbra","321"
"Escola Superior de Enfermagem de Lisboa","301"
"Escola Superior de Enfermagem do Porto","270"
"Instituto Politécnico de Beja - Escola Superior de Saúde","46"
"Universidade do Minho - Escola Superior de Enfermagem","81"
"Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança","109"
"Instituto Politécnico de Castelo Branco - Escola Superior de Saúde Dr. Lopes Dias","143"
"Universidade de Évora - Escola Superior de Enfermagem de São João de Deus","52"
"Universidade do Algarve - Escola Superior de Saúde","102"
"Instituto Politécnico da Guarda - Escola Superior de Saúde da Guarda","52"
"Instituto Politécnico de Leiria - Escola Superior de Saúde de Leiria","174"
"Instituto Politécnico de Portalegre - Escola Superior de Saúde","42"
"Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém","64"
"Instituto Politécnico de Viana do Castelo - Escola Superior de Saúde","70"
"Universidade de Trás-os-Montes e Alto Douro - Escola Superior de Enfermagem de Vila Real","67"
"Instituto Politécnico de Viseu - Escola Superior de Saúde de Viseu","76"
"Universidade dos Açores - Escola Superior de Enfermagem de Angra do Heroísmo","13"
"Universidade dos Açores - Escola Superior de Enfermagem de Ponta Delgada","33"
"Escola Superior Náutica Infante D. Henrique","74"
"Escola Superior de Hotelaria e Turismo do Estoril","436"
"Instituto Politécnico de Coimbra - Escola Superior de Tecnologia da Saúde de Coimbra","245"
"Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa","396"
"Instituto Politécnico do Porto - Escola Superior de Tecnologia da Saúde do Porto","457"
